NonDetectFlag,Parameter ID (tdsUSEPAParameterCodes.txt),S Adt,S Avg Annual Precip,S EMC Value,Site ID,State ID,T Data Qualifier,T EMC Qual,T Parameter Name,T Pcode
TRUE,1809,30000,,0.02,186,38,,<,"1,2-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34536
TRUE,1809,145100,,1,184,38,,<,"1,2-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34536
TRUE,1809,145100,,0.99,184,38,,<,"1,2-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34536
TRUE,1821,30000,,0.01,186,38,,<,"1,2,4-Trichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34551
TRUE,1821,145100,,1,184,38,,<,"1,2,4-Trichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34551
TRUE,1821,145100,,0.99,184,38,,<,"1,2,4-Trichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34551
TRUE,1830,30000,,0.02,186,38,,<,"1,3-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34566
TRUE,1830,145100,,1,184,38,,<,"1,3-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34566
TRUE,1830,145100,,0.99,184,38,,<,"1,3-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34566
TRUE,1842,30000,,0.04,186,38,,<,"2-Chloronaphthalene, water, unfiltered, recoverable, micrograms per liter",p34581
TRUE,1842,145100,,1,184,38,,<,"2-Chloronaphthalene, water, unfiltered, recoverable, micrograms per liter",p34581
TRUE,1842,145100,,0.99,184,38,,<,"2-Chloronaphthalene, water, unfiltered, recoverable, micrograms per liter",p34581
TRUE,1846,30000,,0.05,186,38,,<,"2-Chlorophenol, water, unfiltered, recoverable, micrograms per liter",p34586
TRUE,1846,145100,,2.5,184,38,,<,"2-Chlorophenol, water, unfiltered, recoverable, micrograms per liter",p34586
TRUE,1850,30000,,0.06,186,38,,<,"2-Nitrophenol, water, unfiltered, recoverable, micrograms per liter",p34591
TRUE,1850,145100,,2.5,184,38,,<,"2-Nitrophenol, water, unfiltered, recoverable, micrograms per liter",p34591
TRUE,1866,30000,,0.01,186,38,,<,"2,4-Dinitrotoluene, water, unfiltered, recoverable, micrograms per liter",p34611
TRUE,1866,145100,,1,184,38,,<,"2,4-Dinitrotoluene, water, unfiltered, recoverable, micrograms per liter",p34611
TRUE,1866,145100,,0.99,184,38,,<,"2,4-Dinitrotoluene, water, unfiltered, recoverable, micrograms per liter",p34611
TRUE,1878,30000,,0.03,186,38,,<,"2,6-Dinitrotoluene, water, unfiltered, recoverable, micrograms per liter",p34626
TRUE,1878,145100,,1,184,38,,<,"2,6-Dinitrotoluene, water, unfiltered, recoverable, micrograms per liter",p34626
TRUE,1878,145100,,0.99,184,38,,<,"2,6-Dinitrotoluene, water, unfiltered, recoverable, micrograms per liter",p34626
TRUE,1886,30000,,0.02,186,38,,<,"4-Bromophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",p34636
TRUE,1886,145100,,1,184,38,,<,"4-Bromophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",p34636
TRUE,1886,145100,,0.99,184,38,,<,"4-Bromophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",p34636
TRUE,1890,30000,,0.02,186,38,,<,"4-Chlorophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",p34641
TRUE,1890,145100,,1,184,38,,<,"4-Chlorophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",p34641
TRUE,1890,145100,,0.99,184,38,,<,"4-Chlorophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",p34641
TRUE,1685,30000,,0.06,186,38,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,30000,,0.03,186,38,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,30000,,0.02,186,38,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,30000,,0.36,186,38,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,30000,,0.06,186,38,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,30000,,0.05,186,38,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,30000,,0.02,186,38,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,145100,,0.0039,184,38,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,145100,,0.0038,184,38,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,145100,,0.05,184,38,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,145100,,0.01,184,38,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,23000,,0.07,183,38,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,23000,,0.01,183,38,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,23000,,0.0093,183,38,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,21400,,0.38,181,38,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,21400,,0.09,181,38,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,87168,,0.01,141,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,87168,,0.0019,141,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,87168,,0.0011,141,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,87168,,0.001,141,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,87168,,0.03,141,48,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,87168,,0.01,141,48,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,16500,,0.1,140,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,16500,,0.01,140,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,16500,,0.0011,140,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,16500,,0.001,140,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,78500,,0.1,139,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,78500,,0.01,139,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,78500,,0.0098,139,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,78500,,0.01,139,48,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,126000,,0.1,138,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,126000,,0.01,138,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,126000,,0.01,138,48,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,126000,,0.1,137,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,126000,,0.01,137,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,126000,,0.0099,137,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,126000,,0.03,137,48,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,51000,,0.05,65,6,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,51000,,0.05,64,6,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,51000,,0.06,64,6,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,48000,,0.05,63,6,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,47000,,0.05,62,6,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1550,30000,,0.02,186,38,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
FALSE,1550,30000,,0.42,186,38,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
FALSE,1550,30000,,0.04,186,38,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
FALSE,1550,30000,,0.02,186,38,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
FALSE,1550,30000,,0.01,186,38,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
FALSE,1550,30000,,0.0087,186,38,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,145100,,0.02,184,38,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,145100,,0.0046,184,38,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,145100,,0.0044,184,38,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
FALSE,1550,145100,,0.008,184,38,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
FALSE,1550,23000,,0.23,183,38,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
FALSE,1550,23000,,0.01,183,38,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
FALSE,1550,23000,,0.0092,183,38,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,21400,,0.09,181,38,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,87168,,0.01,141,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,87168,,0.0024,141,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,87168,,0.0015,141,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,87168,,0.0014,141,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,87168,,0.0013,141,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
FALSE,1550,87168,,0.02,141,48,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,16500,,0.1,140,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,16500,,0.01,140,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,16500,,0.0014,140,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,16500,,0.0013,140,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,78500,,0.1,139,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,78500,,0.01,139,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,78500,,0.0098,139,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,126000,,0.1,138,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,126000,,0.01,138,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,126000,,0.01,137,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,126000,,0.0099,137,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,51000,,0.05,65,6,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,51000,,0.05,64,6,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,48000,,0.05,63,6,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
FALSE,1550,48000,,0.25,63,6,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,47000,,0.05,62,6,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1546,30000,,0.25,186,38,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,30000,,0.17,186,38,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,30000,,0.01,186,38,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,30000,,0.0025,186,38,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
FALSE,1546,30000,,0.02,186,38,,,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
FALSE,1546,30000,,0.01,186,38,,,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,145100,,0.0034,184,38,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
FALSE,1546,145100,,0.09,184,38,,,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
FALSE,1546,145100,,0.02,184,38,,,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
FALSE,1546,145100,,0.01,184,38,,,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
FALSE,1546,145100,,0.0088,184,38,,,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,23000,,0.008,183,38,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,23000,,0.0034,183,38,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
FALSE,1546,23000,,0.0095,183,38,,,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
FALSE,1546,23000,,0.0035,183,38,,,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,21400,,0.38,181,38,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,21400,,0.09,181,38,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
FALSE,1546,21400,,0.12,181,38,,,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,87168,,0.01,141,48,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,87168,,0.0034,141,48,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,87168,,0.0021,141,48,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,87168,,0.002,141,48,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
