ADT,EMC Value,'tEMCQual'1,Parameter,NonDetectFlag
0,0.29,,"1-Methylnaphthalene, water, filtered, recoverable, micrograms per liter",FALSE
0,0.07,,"1-Methylnaphthalene, water, filtered, recoverable, micrograms per liter",FALSE
0,0.04,,"1-Methylnaphthalene, water, filtered, recoverable, micrograms per liter",FALSE
0,0.04,'<',"1-Methylnaphthalene, water, filtered, recoverable, micrograms per liter",TRUE
0,0.11,,"1-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.03,,"1-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.02,,"1-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.01,,"1-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.0082,,"1-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.2,'<',"1-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",TRUE
-71,0.2,'<',"1-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,1,'<',"1,2-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.99,'<',"1,2-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.02,'<',"1,2-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,1,'<',"1,2,4-Trichlorobenzene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.99,'<',"1,2,4-Trichlorobenzene, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.01,'<',"1,2,4-Trichlorobenzene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,1,'<',"1,3-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.99,'<',"1,3-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.02,'<',"1,3-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.0079,,"1,4-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,1,'<',"1,4-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.99,'<',"1,4-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.2,'<',"1,4-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",TRUE
-71,0.2,'<',"1,4-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.03,'<',"1,4-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.02,'<',"1,4-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,1,'<',"2-Chloronaphthalene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.99,'<',"2-Chloronaphthalene, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.04,'<',"2-Chloronaphthalene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,2.5,'<',"2-Chlorophenol, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.05,'<',"2-Chlorophenol, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.48,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.19,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.11,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.09,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.08,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.06,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.05,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.04,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.03,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.02,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.01,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
-71,0.0097,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
-71,0.0051,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
-122,0.18,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
-122,0.06,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
-122,0.04,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
-122,0.02,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.7,'<',"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.2,'<',"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.09,'<',"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.04,'<',"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.03,'<',"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",TRUE
-71,0.2,'<',"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.02,'<',"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,1,'<',"2-Nitroaniline, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.99,'<',"2-Nitroaniline, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.02,'<',"2-Nitroaniline, water, unfiltered, recoverable, micrograms per liter",TRUE
0,2.5,'<',"2-Nitrophenol, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.06,'<',"2-Nitrophenol, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.2,'<',"2,2Æ,4,4Æ-Tetrabromodiphenyl ether, water, unfiltered, recoverable, micrograms per liter",TRUE
-71,0.2,'<',"2,2Æ,4,4Æ-Tetrabromodiphenyl ether, water, unfiltered, recoverable, micrograms per liter",TRUE
0,5,'<',"2,3,4,6-Tetrachlorophenol, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.03,'<',"2,3,4,6-Tetrachlorophenol, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.48,,"2,4-D, water, unfiltered, recoverable, micrograms per liter",FALSE
-122,1.1,,"2,4-D, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.4,'<',"2,4-D, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.08,'<',"2,4-D, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.05,'<',"2,4-D, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,4.5,'<',"2,4-D, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,4,'<',"2,4-D, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.42,'<',"2,4-D, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.36,'<',"2,4-D, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.17,'<',"2,4-DB, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,4.5,'<',"2,4-DB, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,4,'<',"2,4-DB, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,1.1,'<',"2,4-DB, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.11,'<',"2,4-DB, water, unfiltered, recoverable, micrograms per liter",TRUE
0,2.5,'<',"2,4-Dichlorophenol, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.04,'<',"2,4-Dichlorophenol, water, unfiltered, recoverable, micrograms per liter",TRUE
0,20,'<',"2,4-Dimethylphenol, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,2.3,'<',"2,4-Dimethylphenol, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,2.2,'<',"2,4-Dimethylphenol, water, unfiltered, recoverable, micrograms per liter",TRUE
0,20,'<',"2,4-Dinitrophenol, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.18,'<',"2,4-Dinitrophenol, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.17,'<',"2,4-Dinitrophenol, water, unfiltered, recoverable, micrograms per liter",TRUE
0,1,'<',"2,4-Dinitrotoluene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.99,'<',"2,4-Dinitrotoluene, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.01,'<',"2,4-Dinitrotoluene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.05,'<',"2,4,5-T, water, filtered, recoverable, micrograms per liter",TRUE
-122,2.3,'<',"2,4,5-T, water, filtered, recoverable, micrograms per liter",TRUE
-122,2,'<',"2,4,5-T, water, filtered, recoverable, micrograms per liter",TRUE
-122,1.9,'<',"2,4,5-T, water, filtered, recoverable, micrograms per liter",TRUE
-122,0.44,'<',"2,4,5-T, water, filtered, recoverable, micrograms per liter",TRUE
-122,0.04,'<',"2,4,5-T, water, filtered, recoverable, micrograms per liter",TRUE
0,0.05,'<',"2,4,5-T, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,2.3,'<',"2,4,5-T, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,2,'<',"2,4,5-T, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.45,'<',"2,4,5-T, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.44,'<',"2,4,5-T, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.08,'<',"2,4,5-T, water, unfiltered, recoverable, micrograms per liter",TRUE
0,2.5,'<',"2,4,5-Trichlorophenol, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.03,'<',"2,4,5-Trichlorophenol, water, unfiltered, recoverable, micrograms per liter",TRUE
0,2.5,'<',"2,4,6-Trichlorophenol, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.05,'<',"2,4,6-Trichlorophenol, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.11,,"2,6-Dimethylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.02,,"2,6-Dimethylnaphthalene, water, unfiltered, recoverable, micrograms per liter",FALSE
