Parameter ID (tdsUSEPAParameterCodes.txt),S Adt,S Avg Annual Precip,S EMC Value,Site ID,T Data Qualifier,T EMC Qual,T Parameter Name,T Pcode,NonDetectFlag
348,43190,,5,208,,<,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,TRUE
348,1565,,5,207,,<,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,TRUE
348,39965,,5,206,,<,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,TRUE
348,21400,,20,181,,<,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,TRUE
348,11000,,10,152,Drainage area estimate not definitive,<,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,TRUE
348,50200,,10,151,,<,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,TRUE
348,20300,,10,142,,<,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,TRUE
348,14000,,5,103,,<,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,TRUE
348,58150,3.25,10,93,,<,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,TRUE
348,14100,,5,84,"Median runoff coefficient exceeds 1 indicating a systematic problem with area, precipitation, and/or runoff measurement",<,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,TRUE
348,4950,,5,42,"Median runoff coefficient exceeds 1 indicating a systematic problem with area, precipitation, and/or runoff measurement",<,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,TRUE
348,17000,39,10,21,,<,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,TRUE
348,35000,17,10,20,,<,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,TRUE
348,15400,97,10,19,,<,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,TRUE
348,20000,62,10,6,,<,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,TRUE
313,7172,30,100,212,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,43190,,50,208,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,1565,,50,207,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,39965,,50,206,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,154000,,1,196,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,75000,,1,194,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,12500,,1,193,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,21800,,0.12,188,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,8000,,0.01,187,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,21400,,5,181,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,21400,,2,181,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,11000,,5,152,Drainage area estimate not definitive,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,50200,,5,151,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,33400,,5,148,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,39000,,5,145,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,20300,,5,142,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,41000,31,1,112,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,160000,,0.5,106,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,14000,,1,103,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,130000,,1,102,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,42000,,5,101,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
313,58150,3.25,1.4,93,,<,"Lead, water, unfiltered, recoverable, micrograms per liter",p01051,TRUE
