County,Accuracy,Kappa,Accuracy,Kappa,Accuracy,Kappa
Clallam,0.985,0.947,0.702,0.631,0.915,0.885
Island,0.987,0.942,0.537,0.447,0.912,0.877
Jefferson,0.977,0.931,0.698,0.629,0.911,0.88
King,0.971,0.898,0.635,0.567,0.929,0.904
Kitsap,0.976,0.923,0.725,0.655,0.946,0.926
Lewis,1,1,0.612,0.443,0.964,0.934
Mason,0.977,0.919,0.686,0.612,0.926,0.897
Pierce,0.973,0.912,0.626,0.548,0.888,0.848
San Juan,0.976,0.899,0.591,0.511,0.829,0.771
Skagit,0.983,0.926,0.655,0.585,0.911,0.88
Snohomish,0.958,0.86,0.646,0.581,0.926,0.901
Thurston,0.975,0.919,0.641,0.573,0.906,0.875
Whatcom,0.987,0.944,0.637,0.566,0.869,0.823
