SITE_ID,YEAR,WEEK,DATEON,DATEOFF,SO2_CONC,SO4_CONC,NO3_CONC,HNO3_CONC,TNO3_CONC,NH4_CONC,CA_CONC,NA_CONC,MG_CONC,K_CONC,CL_CONC
MOR409,2009,10,2009/03/03,2009/03/10,0.182,0.343,0.147,0.099,0.244,0.099,0.022,0.207,0.025,0.023,0.247
MOR409,2009,11,2009/03/10,2009/03/17,0.083,0.411,0.086,0.087,0.172,0.108,0.027,0.148,0.02,0.023,0.139
MOR409,2009,12,2009/03/17,2009/03/24,0.13,0.653,0.095,0.061,0.155,0.158,0.077,0.111,0.026,0.029,0.125
MOR409,2009,13,2009/03/24,2009/03/31,0.08,0.351,0.104,0.039,0.143,0.075,0.018,0.156,0.021,0.019,0.169
MOR409,2009,14,2009/03/31,2009/04/07,0.244,0.949,0.179,0.088,0.266,0.239,0.061,0.351,0.05,0.042,0.452
MOR409,2010,10,2010/03/02,2010/03/09,0.436,0.449,0.157,0.107,0.262,0.149,0.028,0.097,0.014,0.035,0.082
MOR409,2010,11,2010/03/09,2010/03/16,0.469,0.428,0.21,0.104,0.313,0.108,0.03,0.341,0.042,0.027,0.522
MOR409,2010,12,2010/03/16,2010/03/23,0.225,0.383,0.237,0.098,0.334,0.092,0.058,0.256,0.035,0.096,0.318
MOR409,2010,13,2010/03/23,2010/03/30,0.1,0.463,0.171,0.053,0.223,0.109,0.084,0.092,0.026,0.037,0.084
MOR409,2010,14,2010/03/30,2010/04/06,0.211,0.2,0.097,0.095,0.19,0.07,0.02,0.057,0.009,0.02,0.078
MOR409,2011,9,2011/03/01,2011/03/08,0.246,0.389,0.132,0.109,0.239,0.08,0.027,0.163,0.02,0.026,0.184
MOR409,2011,10,2011/03/08,2011/03/15,0.157,0.139,0.069,0.07,0.139,0.076,0.012,0.089,0.012,0.013,0.132
MOR409,2011,11,2011/03/15,2011/03/22,0.116,0.255,0.051,0.069,0.119,0.062,0.014,0.053,0.009,0.015,0.043
MOR409,2011,12,2011/03/22,2011/03/29,0.115,0.069,0.051,0.053,0.103,0.039,0.009,0.01,0.005,0.009,0.029
MOR409,2011,13,2011/03/29,2011/04/05,0.136,0.357,0.109,0.067,0.175,0.069,0.055,0.152,0.028,0.032,0.21
MOR409,2012,10,2012/03/06,2012/03/13,0.098,0.39,0.103,0.073,0.175,0.108,0.031,0.085,0.016,0.019,0.066
MOR409,2012,11,2012/03/13,2012/03/20,0.237,0.214,0.105,0.107,0.211,0.077,0.018,0.094,0.011,0.018,0.149
MOR409,2012,12,2012/03/20,2012/03/27,0.101,0.329,0.127,0.074,0.2,0.105,0.044,0.085,0.016,0.022,0.075
MOR409,2012,13,2012/03/27,2012/04/03,0.129,0.186,0.053,0.052,0.104,0.079,0.014,0.053,0.009,0.014,0.06
MOR409,2013,10,2013/03/05,2013/03/12,0.149,0.263,0.103,0.157,0.257,0.13,0.013,0.021,0.005,0.022,0.031
MOR409,2013,11,2013/03/12,2013/03/19,0.071,0.34,0.07,0.036,0.105,0.095,0.02,0.083,0.014,0.021,0.094
MOR409,2013,12,2013/03/19,2013/03/26,0.216,0.784,0.148,0.093,0.239,0.242,0.032,0.074,0.015,0.029,0.041
MOR409,2013,13,2013/03/26,2013/04/02,0.117,0.555,0.111,0.148,0.257,0.178,0.043,0.051,0.013,0.039,0.018
MOR409,2009,15,2009/04/07,2009/04/14,0.12,0.556,0.201,0.167,0.365,0.163,0.042,0.114,0.021,0.035,0.042
MOR409,2009,16,2009/04/14,2009/04/21,0.15,0.609,0.248,0.181,0.425,0.167,0.029,0.138,0.021,0.033,0.025
MOR409,2009,17,2009/04/21,2009/04/28,0.228,1.363,0.367,0.155,0.519,0.319,0.04,0.374,0.05,0.043,0.184
MOR409,2009,18,2009/04/28,2009/05/05,0.097,0.623,0.083,0.106,0.187,0.171,0.026,0.145,0.021,0.026,0.138
MOR409,2010,15,2010/04/06,2010/04/13,0.214,0.728,0.233,0.083,0.314,0.224,0.062,0.218,0.035,0.037,0.283
MOR409,2010,16,2010/04/13,2010/04/20,0.121,0.807,0.381,0.117,0.496,0.158,0.098,0.299,0.053,0.057,0.158
MOR409,2010,17,2010/04/20,2010/04/27,0.397,0.715,0.355,0.136,0.489,0.16,0.072,0.279,0.043,0.041,0.211
MOR409,2010,18,2010/04/27,2010/05/04,0.265,0.28,0.122,0.118,0.238,0.107,0.021,0.142,0.018,0.069,0.231
MOR409,2011,14,2011/04/05,2011/04/12,0.172,0.49,0.147,0.077,0.222,0.089,0.024,0.176,0.022,0.025,0.131
MOR409,2011,15,2011/04/12,2011/04/19,0.164,0.527,0.114,0.074,0.186,0.156,0.019,0.095,0.014,0.023,0.063
MOR409,2011,16,2011/04/19,2011/04/26,0.127,0.83,0.259,0.137,0.393,0.232,0.045,0.188,0.029,0.033,0.145
MOR409,2011,17,2011/04/26,2011/05/03,0.08,0.524,0.165,0.066,0.23,0.169,0.02,0.134,0.019,0.023,0.091
MOR409,2012,14,2012/04/03,2012/04/10,0.107,0.589,0.136,0.09,0.224,0.19,0.081,0.069,0.022,0.036,0.033
MOR409,2012,15,2012/04/10,2012/04/17,0.074,0.486,0.16,0.128,0.286,0.139,0.044,0.126,0.024,0.03,0.103
MOR409,2012,16,2012/04/17,2012/04/24,0.16,0.594,0.198,0.141,0.337,0.198,0.044,0.09,0.02,0.042,0.019
MOR409,2012,17,2012/04/24,2012/05/01,0.079,0.179,0.072,0.054,0.125,0.069,0.015,0.039,0.008,0.022,0.044
MOR409,2013,14,2013/04/02,2013/04/09,0.093,0.398,0.09,0.069,0.159,0.112,0.038,0.098,0.017,0.031,0.104
MOR409,2013,15,2013/04/09,2013/04/16,0.067,0.264,0.095,0.03,0.124,0.065,0.017,0.146,0.02,0.02,0.179
MOR409,2013,16,2013/04/16,2013/04/23,0.071,0.377,0.071,0.084,0.153,0.116,0.017,0.043,0.008,0.022,0.017
MOR409,2013,17,2013/04/23,2013/04/30,0.117,0.598,0.128,0.198,0.322,0.161,0.057,0.164,0.028,0.043,0.189
MOR409,2013,18,2013/04/30,2013/05/07,0.239,0.696,0.262,0.407,0.663,0.194,0.081,0.153,0.03,0.043,0.037
MOR409,2009,19,2009/05/05,2009/05/12,0.233,0.507,0.172,0.089,0.26,0.162,0.023,0.157,0.022,0.037,0.169
MOR409,2009,20,2009/05/12,2009/05/19,0.131,0.653,0.222,0.144,0.364,0.2,0.043,0.114,0.022,0.049,0.035
MOR409,2009,21,2009/05/19,2009/05/26,0.25,1.076,0.197,0.515,0.703,0.244,0.046,0.193,0.029,0.051,0.017
MOR409,2009,22,2009/05/26,2009/06/02,0.365,0.937,0.175,0.555,0.721,0.264,0.064,0.094,0.021,0.044,0.016
MOR409,2010,19,2010/05/04,2010/05/11,0.206,0.548,0.158,0.102,0.258,0.198,0.015,0.063,0.01,0.029,0.042
MOR409,2010,20,2010/05/11,2010/05/18,0.225,1.197,0.542,0.406,0.942,0.295,0.055,0.312,0.046,0.052,0.026
MOR409,2010,21,2010/05/18,2010/05/25,0.302,0.316,0.124,0.125,0.247,0.143,0.022,0.127,0.017,0.155,0.17
MOR409,2010,22,2010/05/25,2010/06/01,0.224,0.231,0.099,0.1,0.198,0.109,0.017,0.024,0.009,0.101,0.06
