x,Pre,Dev
0,0.999558853,0.969126899
1,0.999343475,0.961049948
2,0.999031006,0.951229234
3,0.998581909,0.939399722
4,0.99794265,0.925287434
5,0.997041717,0.908618499
6,0.995784955,0.889130579
7,0.994050275,0.866586562
8,0.991681922,0.840790122
9,0.988484639,0.811602527
10,0.98421822,0.778959767
11,0.978593187,0.742888834
12,0.971268492,0.703521746
13,0.961852396,0.661105821
14,0.949907743,0.616008691
15,0.934962894,0.56871673
16,0.9165294,0.519825927
17,0.894127098,0.470024777
18,0.867316635,0.420069433
19,0.83573849,0.370752162
20,0.799156413,0.322864932
21,0.757501878,0.277160644
22,0.710915008,0.234315053
23,0.65977647,0.194892587
24,0.604724584,0.159319153
25,0.54665236,0.127864438
26,0.486680705,0.100635357
27,0.426106561,0.077581147
28,0.366327974,0.058509359
29,0.308751801,0.043110852
30,0.254693096,0.030990944
31,0.205277634,0.021703359
32,0.161359795,0.014783518
33,0.123466708,0.009778103
34,0.091776257,0.006268615
35,0.066131557,0.003887613
36,0.046088899,0.002327427
37,0.030990944,0.00134203
38,0.020053312,0.000743476
39,0.012451476,0.000394657
40,0.00739613,0.000200142
41,0.004188726,9.66535E-05
42,0.002253507,4.429E-05
43,0.001147044,1.91818E-05
