hruName,sq.m,acres,soil,land cover,slope  ,hruName,,,,
hru000,2432168.00,601.001891,A/B,forest,flat,hru000,,,,
hru001,1228910.00,303.670347,A/B,forest,moderate,hru001,,,,
hru002,743614.00,183.751019,A/B,forest,steep,hru002,,,,
hru010,556435.10,137.498118,A/B,pasture,flat,hru010,,,,
hru011,153862.00,38.020137,A/B,pasture,moderate,hru011,,,,
hru012,24682.16,6.099095,A/B,pasture,steep,hru012,,,,
hru020,909390.80,224.715351,A/B,lawn,flat,hru020,,,,
hru021,230017.00,56.838437,A/B,lawn,moderate,hru021,,,,
hru022,17757.89,4.38807,A/B,lawn,steep,hru022,,,,
hru100,93139.05,23.01516,C,forest,flat,hru100,,,,
hru101,9888.50,2.443502,C,forest,moderate,hru101,,,,
hru102,6064.56,1.498585,C,forest,steep,hru102,,,,
hru110,13569.95,3.353207,C,pasture,flat,hru110,,,,
hru111,2032.37,0.502208,C,pasture,moderate,hru111,,,,
hru112,230.02,0.05684,C,pasture,steep,hru112,,,,
hru120,118094.30,29.181745,C,lawn,flat,hru120,,,,
hru121,7885.95,1.948661,C,lawn,moderate,hru121,,,,
hru122,243.56,0.060185,C,lawn,steep,hru122,,,,
hru200,90542.94,22.373647,D,forest,flat,hru200,,,,
hru201,3724.20,0.920269,D,forest,moderate,hru201,,,,
hru210,22074.19,5.454652,D,pasture,flat,hru210,,,,
hru211,1212.49,0.299612,D,pasture,moderate,hru211,,,,
hru220,42232.11,10.435781,D,lawn,flat,hru220,,,,
hru221,2335.62,0.577145,D,lawn,moderate,hru221,,,,
hru250,1477833.00,365.180393,D,impervious,flat,hru250,,,,
hru251,320216.80,79.127303,D,impervious,moderate,hru251,,,,
hru252,25874.91,6.393828,D,impervious,steep,hru252,,,,
