,Location,study_name,parameter,type,season,concentration,nondetect_flag,study_id,access_id,field_collection_end_date,field_collection_start_date,SiteID,COM,RES,constant,depSplusN,impervious,logPopulation,logTraffic,nighttime_lights,pm25,population,roadDensity,traffic
1,KICCOMS8D_OUT,King County Phase I Municipal Stormwater Permit,CPAH - Water - Total,COM,4,0.0094,TRUE,WAR044501_S8D,103419,NA,10/14/2009,12,0.216052452,-0.671738732,0.087559835,0.902652389,-0.039379718,-0.56353813,-0.002455577,-1.679002799,-0.750304999,-0.452124553,0.032847489,-0.223452611
2,KICCOMS8D_OUT,King County Phase I Municipal Stormwater Permit,Zinc - Water - Total,COM,1,46.7,FALSE,WAR044501_S8D,17555,2/25/2013,2/25/2013,12,0.216052452,-0.671738732,0.087559835,0.902652389,-0.039379718,-0.56353813,-0.002455577,-1.679002799,-0.750304999,-0.452124553,0.032847489,-0.223452611
3,KICCOMS8D_OUT,King County Phase I Municipal Stormwater Permit,HPAH - Water - Total,COM,4,0.1396,FALSE,WAR044501_S8D,102200,NA,11/5/2009,12,0.216052452,-0.671738732,0.087559835,0.902652389,-0.039379718,-0.56353813,-0.002455577,-1.679002799,-0.750304999,-0.452124553,0.032847489,-0.223452611
4,KICCOMS8D_OUT,King County Phase I Municipal Stormwater Permit,HPAH - Water - Total,COM,1,0.3021,FALSE,WAR044501_S8D,102224,NA,2/12/2011,12,0.216052452,-0.671738732,0.087559835,0.902652389,-0.039379718,-0.56353813,-0.002455577,-1.679002799,-0.750304999,-0.452124553,0.032847489,-0.223452611
5,KICCOMS8D_OUT,King County Phase I Municipal Stormwater Permit,Total PAH - Water - Total,COM,4,0.1141,FALSE,WAR044501_S8D,100187,NA,12/13/2012,12,0.216052452,-0.671738732,0.087559835,0.902652389,-0.039379718,-0.56353813,-0.002455577,-1.679002799,-0.750304999,-0.452124553,0.032847489,-0.223452611
6,KICCOMS8D_OUT,King County Phase I Municipal Stormwater Permit,Copper - Water - Total,COM,1,39.1,FALSE,WAR044501_S8D,19662,3/13/2013,3/13/2013,12,0.216052452,-0.671738732,0.087559835,0.902652389,-0.039379718,-0.56353813,-0.002455577,-1.679002799,-0.750304999,-0.452124553,0.032847489,-0.223452611
7,KICCOMS8D_OUT,King County Phase I Municipal Stormwater Permit,Nitrite-Nitrate - Water - Dissolved,COM,4,437,FALSE,WAR044501_S8D,33292,10/14/2009,10/14/2009,12,0.216052452,-0.671738732,0.087559835,0.902652389,-0.039379718,-0.56353813,-0.002455577,-1.679002799,-0.750304999,-0.452124553,0.032847489,-0.223452611
8,KICCOMS8D_OUT,King County Phase I Municipal Stormwater Permit,CPAH - Water - Total,COM,1,0.0649,FALSE,WAR044501_S8D,103432,NA,2/12/2011,12,0.216052452,-0.671738732,0.087559835,0.902652389,-0.039379718,-0.56353813,-0.002455577,-1.679002799,-0.750304999,-0.452124553,0.032847489,-0.223452611
9,KICCOMS8D_OUT,King County Phase I Municipal Stormwater Permit,Nitrite-Nitrate - Water - Dissolved,COM,4,238,FALSE,WAR044501_S8D,33682,10/19/2012,10/18/2012,12,0.216052452,-0.671738732,0.087559835,0.902652389,-0.039379718,-0.56353813,-0.002455577,-1.679002799,-0.750304999,-0.452124553,0.032847489,-0.223452611
10,KICCOMS8D_OUT,King County Phase I Municipal Stormwater Permit,Total Phthalate - Water - Total,COM,4,0.508,FALSE,WAR044501_S8D,100188,NA,12/13/2012,12,0.216052452,-0.671738732,0.087559835,0.902652389,-0.039379718,-0.56353813,-0.002455577,-1.679002799,-0.750304999,-0.452124553,0.032847489,-0.223452611
