system:index,Location,change_year_index,depSplusN,impervious,logPopulation,logtraffic,nighttime_lights,pm25,roadDensity,soil,COM,RES
0,TFWFD1,-0.0365,-0.04024,-0.1538,0.128,-1.361780634,-0.1365,-0.115,0.0132,-0.07733,0.139686412,0.017896305
1,SEAI1S8D_OUT,-0.3401,0.21019,-0.259,-0.822,-1.471541966,0.0466,0.413,-0.3322,0.19171,0.925687955,-0.778133996
2,TAC001S8D_OF2,0.6542,1.18972,1.4984,-0.519,-0.695664534,2.1764,1.442,1.555,1.10337,1.376997319,-1.077169389
3,TAC003S8D_OF2,0.4465,0.91723,1.1743,-0.688,-1.201962896,1.2904,1.103,0.4104,1.27892,0.746545835,-0.878150625
4,PIEHIRES_OUT,-1.5761,-1.15416,-1.0101,-0.575,-1.932971694,-1.1615,-1.392,-1.3303,-1.62596,-0.2768994,-0.296535801
5,PIELORES_OUT,-2.3454,-2.4858,-1.494,-1.363,-1.9099002,-1.79,-2.306,-1.4047,-1.72418,-0.399286603,-1.02434542
6,SNO_COM,0.4913,-0.0899,0.8176,1.395,-1.829005572,-0.5214,0.326,-0.5416,-0.91904,2.48081755,-0.881192563
7,SNO_LDR,-1.6461,-2.06652,-1.1287,-0.923,-1.884902967,-1.7096,-1.761,-1.1932,-1.85568,0.019753723,-0.420063805
8,SEAC1S8D_OUT,0.8802,0.7349,1.5958,1.093,-0.830862476,1.172,1.806,1.0919,1.10889,2.249340115,-0.762489944
9,POSOUTFALL_60,-0.5491,0.00109,1.0951,-0.628,-1.937269104,-0.5095,0.974,-0.9139,-1.05157,-0.399286603,-1.407626352
0000000000000000000a,SEAR1S8D_OUT,0.3073,-0.4015,-0.1062,0.943,-1.289294811,-0.2469,0.47,0.125,-0.00945,0.017236866,0.568570646
0000000000000000000b,POT564S8D_OUT,1.0452,0.40799,1.8471,-3.274,-1.923368066,1.7034,0.903,-1.2904,1.50696,-0.369836149,-1.407626352
0000000000000000000c,PIECOMM_OUT,0.3297,0.86974,1.0452,0.383,-1.611249383,-0.794,0.46,-0.2052,-0.99911,2.391775011,-1.407626352
0000000000000000000d,SNO_HDR,-0.1077,-0.99679,-0.4808,0.494,-1.410923005,-1.1212,-0.782,-0.1384,-1.41464,-0.399286603,0.606174052
0000000000000000000e,KICCOMS8D_OUT,-0.0841,0.90529,-0.0394,-0.564,-1.344095012,-1.679,-0.75,0.0328,-1.37316,0.541239602,-0.829432373
0000000000000000000f,KICLDRS8D_OUT,-1.4583,-1.82569,-1.2165,-0.679,-1.705715891,-1.3597,-1.813,-1.073,-1.91183,-0.247382149,-0.28879449
10,KICHDRS8D_OUT,-0.6359,-0.17338,-0.8224,-0.345,-1.620330308,-1.7272,-1.297,-0.5804,-1.65428,-0.399286603,0.14265085
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
